log2N,N,delta,log2s,s,rho,storage_bytes,honest_bytes,storage_fraction,rec_hashes_median,rec_hashes_p99,depth_median,depth_p99,saturated,resp_seq_s_median,resp_seq_s_p99,resp_par_s_median,resp_par_s_p99,pass_rate,pass_validated,challenges
18,262144,8,9,512,0.001953125,49120,16777184,0.0029277857356753076,134904,235571,131701,232810,0,0.006624957029907184,0.011568580268133379,0.006467661935864067,0.011432991209546727,1.0,1,60
18,262144,8,10,1024,0.0009765625,24544,16777184,0.0014629391917022547,93604,262911,90419,258438,0,0.004596768649020282,0.012911211511074007,0.004440357511172224,0.012691548396601679,1.0,1,60
20,1048576,2,0,1,1.0,67108832,67108832,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,40
20,1048576,2,1,2,0.5,50331616,67108832,0.7499998807906536,7,20,3,15,0,3.4376074252320383e-07,9.821735500662967e-07,1.473260325099445e-07,7.366301625497226e-07,1.0,1,40
20,1048576,2,2,4,0.25,25165792,67108832,0.374999701976634,128444,305740,1681,2676,1,0.0063077149732357705,0.015014487059863479,8.255168688307223e-05,0.0001314148209988705,1.0,1,40
20,1048576,2,3,8,0.125,12582880,67108832,0.18749961256962422,488031,786994,27115,37558,1,0.023966556990620242,0.03864823454304375,0.0013315817905023817,0.0018444237096694985,1.0,0,40
20,1048576,2,4,16,0.0625,6291424,67108832,0.09374956786611932,480872,909238,60632,91562,1,0.023614987968374013,0.044651475715758976,0.002977557334380985,0.004496488729558513,1.0,0,40
20,1048576,2,5,32,0.03125,3145696,67108832,0.04687454551436687,476249,934602,82224,173965,1,0.023387958552276187,0.04589706821195305,0.004037911899032559,0.008543191081864165,1.0,1,40
20,1048576,2,6,64,0.015625,1572832,67108832,0.023437034338490648,562579,1012686,134995,214726,1,0.027627510681137356,0.04973167018612189,0.006629425919559986,0.010544909885576782,1.0,1,40
20,1048576,2,7,128,0.0078125,786400,67108832,0.011718278750552535,526661,1033425,88002,234670,1,0.025863625202573296,0.05075013504886314,0.0043216618376467125,0.011524333349702893,1.0,0,40
20,1048576,2,8,256,0.00390625,393184,67108832,0.005858900956583479,581667,1033909,174792,278624,1,0.02856489711732063,0.05077390364877474,0.008583803958159407,0.013682856160683593,1.0,1,40
20,1048576,2,9,512,0.001953125,196576,67108832,0.0029292120595989513,384509,1002768,200332,285249,1,0.018882728478122085,0.04924461032264401,0.009838039581594068,0.014008201149143053,1.0,1,40
20,1048576,2,10,1024,0.0009765625,98272,67108832,0.0014643676111066872,422190,1035596,167214,296140,1,0.02073319255512449,0.050856749987722834,0.008211658400039287,0.014543043755831656,1.0,1,40
20,1048576,4,0,1,1.0,67108832,67108832,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,40
