N,log2k,k,p1_per_challenge,c,p_detect_analytic,p_detect_sim,expected_rounds_to_detect,storage_fraction_upper_only
3355443200,11,2048,0.0004882809521222952,50,0.02412425390677919,0.02389,41.45205915441756,0.0004882811010611476
3355443200,11,2048,0.0004882809521222952,100,0.04766652818699957,0.046985,20.97908192677513,0.0004882811010611476
3355443200,12,4096,0.00024414032704953562,1,0.0002441403270495579,0.000245,4096.004998785025,0.00024414047602476784
3355443200,12,4096,0.00024414032704953562,10,0.00243872281350499,0.002585,410.0507013188499,0.00024414047602476784
3355443200,12,4096,0.00024414032704953562,50,0.01213428524098803,0.01206,82.41111694178169,0.00024414047602476784
3355443200,12,4096,0.00024414032704953562,100,0.02412132960366631,0.023535,41.45708451527504,0.00024414047602476784
3355443200,13,8192,0.00012207001451315582,1,0.00012207001451314259,0.00012,8192.019997608304,0.00012207016350657793
3355443200,13,8192,0.00012207001451315582,10,0.0012200298143819621,0.00118,819.6521004747544,0.00012207016350657793
3355443200,13,8192,0.00012207001451315582,50,0.006085282493166422,0.00653,164.33090840449364,0.00012207016350657793
3355443200,13,8192,0.00012207001451315582,100,0.012133534323311101,0.012235,82.41621718403904,0.00012207016350657793
3355443200,14,16384,6.1034858244965925e-05,1,6.103485824493493e-05,4.5e-05,16384.079995516113,6.103500724748298e-05
3355443200,14,16384,6.1034858244965925e-05,10,0.0006101809733044528,0.000595,1638.8580499068514,6.103500724748298e-05
3355443200,14,16384,6.1034858244965925e-05,50,0.0030471839294581304,0.00324,328.17185412822334,6.103500724748298e-05
3355443200,14,16384,6.1034858244965925e-05,100,0.006085082529016295,0.006165,164.33630854332202,6.103500724748298e-05
3355443200,15,32768,3.051728011087098e-05,1,3.0517280110831102e-05,2e-05,32768.31999340213,3.0517429117935514e-05
3355443200,15,32768,3.051728011087098e-05,10,0.0003051308958212928,0.000275,3277.282024517353,3.0517429117935514e-05
3355443200,15,32768,3.051728011087098e-05,50,0.0015247237145189496,0.00148,655.8565269744624,3.0517429117935514e-05
3355443200,15,32768,3.051728011087098e-05,100,0.0030471226466323165,0.00303,328.17845422310165,3.0517429117935514e-05
3355443200,16,65536,1.5258491043823508e-05,1,1.5258491043779188e-05,1e-05,65537.28000565922,1.5258640053161776e-05
3355443200,16,65536,1.5258491043823508e-05,10,0.0001525744338943813,0.000185,6554.178013154181,1.5258640053161776e-05
3355443200,16,65536,1.5258491043823508e-05,50,0.0007626394154081062,0.00073,1311.2356636653465,1.5258640053161776e-05
3355443200,16,65536,1.5258491043823508e-05,100,0.001524697211938375,0.00148,655.8679271989237,1.5258640053161776e-05
